glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
😭,loudly crying face,放声大哭,bawling | cry | crying | face | loudly | sad | sob | tear | tears | unhappy,哭 | 大哭 | 放声大哭 | 放声大哭的脸 | 泪 | 痛哭 | 脸,CLDR release-46 annotations
😮,face with open mouth,吃惊,believe | face | forgot | mouth | omg | open | shocked | surprised | sympathy | unbelievable | unreal | whoa | wow | you,吃惊 | 同情 | 啊 | 忘记 | 我不信 | 我的天 | 脸,CLDR release-46 annotations
😯,hushed face,缄默,epic | face | hushed | omg | stunned | surprised | whoa | woah,吃惊 | 哦 | 我的天 | 缄默 | 脸 | 静而无语,CLDR release-46 annotations
😰,anxious face with sweat,冷汗,anxious | blue | cold | eek | face | mouth | nervous | open | rushed | scared | sweat | yikes,冷汗 | 张嘴冒冷汗的脸 | 惊讶 | 无语 | 汗 | 焦虑 | 紧张 | 脸,CLDR release-46 annotations
😱,face screaming in fear,吓死了,epic | face | fear | fearful | munch | scared | scream | screamer | screaming | shocked | surprised | woah,吓死 | 吓死了 | 害怕 | 尖叫 | 恐怖 | 惊吓大叫的脸 | 脸,CLDR release-46 annotations
😲,astonished face,震惊,astonished | cost | face | no | omg | shocked | totally | way,不可以 | 惊 | 惊讶 | 惊讶的脸 | 没可能 | 绝不 | 脸 | 震惊,CLDR release-46 annotations
😳,flushed face,脸红,amazed | awkward | crazy | dazed | dead | disbelief | embarrassed | face | flushed | geez | heat | hot | impressed | jeez | what | wow,困惑 | 天呀 | 害羞 | 羞涩 | 脸 | 脸红 | 茫然 | 迷茫 | 难以置信,CLDR release-46 annotations
😴,sleeping face,睡着了,bed | bedtime | face | good | goodnight | nap | night | sleep | sleeping | tired | whatever | yawn | zzz,呼噜 | 小睡 | 想睡 | 打呼 | 晚安 | 睡容 | 睡着了 | 睡觉 | 累 | 累了 | 脸,CLDR release-46 annotations
😵,face with crossed-out eyes,晕头转向,crossed-out | dead | dizzy | eyes | face | feels | knocked | out | sick | tired,头晕 | 头晕眼花 | 晕头 | 晕头的脸 | 晕头转向 | 脸,CLDR release-46 annotations
😶,face without mouth,沉默,awkward | blank | expressionless | face | mouth | mouthless | mute | quiet | secret | silence | silent | speechless,嘴 | 安静 | 沉默 | 没嘴 | 秘密 | 脸,CLDR release-46 annotations
😷,face with medical mask,感冒,cold | dentist | dermatologist | doctor | dr | face | germs | mask | medical | medicine | sick,医生 | 口罩 | 感冒 | 戴口罩 | 戴口罩的脸 | 生病 | 病菌 | 脸,CLDR release-46 annotations
😸,grinning cat with smiling eyes,微笑的猫,animal | cat | eye | eyes | face | grin | grinning | smile | smiling,呵呵 | 微笑的猫 | 微笑的猫脸 | 猫脸 | 笑 | 笑颜逐开 | 脸,CLDR release-46 annotations
😹,cat with tears of joy,笑出眼泪的猫,animal | cat | face | joy | laugh | laughing | lol | tear | tears,喜极而泣 | 快乐 | 猫脸 | 眼泪 | 笑出眼泪 | 笑出眼泪的猫 | 笑出眼泪的猫脸 | 脸,CLDR release-46 annotations
😺,grinning cat,大笑的猫,animal | cat | face | grinning | mouth | open | smile | smiling,哈哈 | 大笑的猫 | 大笑的猫脸 | 猫脸 | 笑 | 脸,CLDR release-46 annotations
😻,smiling cat with heart-eyes,花痴的猫,animal | cat | eye | face | heart | heart-eyes | love | smile | smiling,WC | 喜欢 | 心 | 猫 | 猫脸 | 脸 | 花痴 | 花痴的猫 | 花痴的猫脸,CLDR release-46 annotations
😼,cat with wry smile,奸笑的猫,animal | cat | face | ironic | smile | wry,嘲讽笑容 | 奸笑 | 奸笑的猫 | 奸笑的猫脸 | 猫脸 | 脸 | 讽刺,CLDR release-46 annotations
😽,kissing cat,亲亲猫,animal | cat | closed | eye | eyes | face | kiss | kissing,亲亲 | 亲亲猫 | 吻 | 猫脸 | 猫脸亲亲 | 脸 | 闭眼亲亲的猫脸,CLDR release-46 annotations
😾,pouting cat,生气的猫,animal | cat | face | pouting,猫脸 | 生气 | 生气的猫 | 生气的猫脸 | 脸,CLDR release-46 annotations
😿,crying cat,哭泣的猫,animal | cat | cry | crying | face | sad | tear,哭 | 哭泣的猫 | 哭泣的猫脸 | 泪 | 猫脸 | 眼泪 | 脸 | 难过,CLDR release-46 annotations
🙀,weary cat,疲倦的猫,animal | cat | face | oh | surprised | weary,惊讶 | 猫脸 | 疲倦 | 疲倦的猫 | 疲倦的猫脸 | 疲劳 | 疲惫 | 累 | 脸,CLDR release-46 annotations
🙁,slightly frowning face,微微不满,face | frown | frowning | sad | slightly,不开心 | 不高兴 | 不高兴的脸 | 委屈 | 小委屈 | 微微不满 | 心情不好 | 脸,CLDR release-46 annotations
🙂,slightly smiling face,呵呵,face | happy | slightly | smile | smiling,呵呵 | 开心 | 浅笑的脸 | 笑 | 脸,CLDR release-46 annotations
🙃,upside-down face,倒脸,face | hehe | smile | upside-down,倒脸 | 好玩 | 好笑 | 脸 | 颠倒 | 颠倒的脸,CLDR release-46 annotations
🙄,face with rolling eyes,翻白眼,eyeroll | eyes | face | rolling | shade | ugh | whatever,不敢苟同 | 无语 | 白眼 | 翻白眼 | 脸 | 随便啦,CLDR release-46 annotations
🙅,person gesturing NO,禁止手势,forbidden | gesture | hand | NO | not | person | prohibit,不允许 | 不可能 | 不行 | 不通过 | 反对 | 手 | 用手势表示不的人 | 禁止 | 禁止手势,CLDR release-46 annotations
🙆,person gesturing OK,OK手势,exercise | gesture | gesturing | hand | OK | omg | person,ok | OK手势 | 同意 | 女子用手势表示好 | 好的 | 手 | 手势 | 摆姿势 | 锻炼,CLDR release-46 annotations
🙇,person bowing,鞠躬,apology | ask | beg | bow | bowing | favor | forgive | gesture | meditate | meditation | person | pity | regret | sorry,不好意思 | 冥想 | 姿势 | 对不起 | 惭愧 | 感谢 | 懊悔 | 祈求宽恕 | 道歉 | 鞠躬 | 鞠躬的人,CLDR release-46 annotations
🙈,see-no-evil monkey,非礼勿视,embarrassed | evil | face | forbidden | forgot | gesture | hide | monkey | no | omg | prohibited | scared | secret | smh | watch,不许看 | 别看 | 尴尬 | 糗 | 脸 | 蒙住眼睛 | 蒙眼 | 非礼勿视,CLDR release-46 annotations
🙉,hear-no-evil monkey,非礼勿听,animal | ears | evil | face | forbidden | gesture | hear | listen | monkey | no | not | prohibited | secret | shh | tmi,嘘 | 堵上耳朵 | 堵耳 | 猴子 | 脸 | 非礼勿听,CLDR release-46 annotations
🙊,speak-no-evil monkey,非礼勿言,animal | evil | face | forbidden | gesture | monkey | no | not | oops | prohibited | quiet | secret | speak | stealth,不许说 | 捂上嘴巴 | 捂嘴 | 秘密 | 脸 | 非礼勿言,CLDR release-46 annotations
🙋,person raising hand,举手,gesture | hand | here | know | me | person | pick | question | raise | raising,举手 | 举手的人 | 嗨 | 开心 | 我参加 | 我可以帮忙 | 我知道 | 手 | 看这里 | 选我,CLDR release-46 annotations
🙌,raising hands,举双手,celebration | gesture | hand | hands | hooray | praise | raised | raising,举双手 | 举手 | 击掌 | 双手 | 庆祝 | 手,CLDR release-46 annotations
🙍,person frowning,皱眉,annoyed | disappointed | disgruntled | disturbed | frown | frowning | frustrated | gesture | irritated | person | upset,不开心 | 不满 | 不爽 | 失望 | 心烦意乱 | 恼火 | 沮丧 | 皱眉 | 皱眉的人,CLDR release-46 annotations
🙎,person pouting,撅嘴,disappointed | downtrodden | frown | grimace | person | pouting | scowl | sulk | upset | whine,不开心 | 不高兴 | 低落 | 噘嘴 | 失望 | 怒视 | 撅嘴 | 撅嘴的人 | 生闷气 | 皱眉 | 苦相 | 表情,CLDR release-46 annotations
🙏,folded hands,双手合十,appreciate | ask | beg | blessed | bow | cmon | five | folded | gesture | hand | high | please | pray | thanks | thx,双手合十 | 合掌 | 感恩 | 拜托 | 祈求 | 祈祷 | 祈福 | 祝福 | 谢谢,CLDR release-46 annotations
🚀,rocket,火箭,launch | rocket | rockets | space | travel,发射 | 太空 | 旅行 | 火箭,CLDR release-46 annotations
🚁,helicopter,直升机,copter | helicopter | roflcopter | travel | vehicle,旅行 | 直升机 | 直升飞机,CLDR release-46 annotations
🚂,locomotive,蒸汽火车,caboose | engine | locomotive | railway | steam | train | trains | travel,守车 | 旅行 | 火车 | 火车头 | 蒸汽 | 蒸汽火车 | 蒸汽车头 | 铁路,CLDR release-46 annotations
🚃,railway car,轨道车,car | electric | railway | train | tram | travel | trolleybus,旅行 | 电车 | 轨道车 | 铁路,CLDR release-46 annotations
🚄,high-speed train,高速列车,high-speed | railway | shinkansen | speed | train,动车 | 新干线 | 火车 | 速度 | 高速列车 | 高铁,CLDR release-46 annotations
🚅,bullet train,子弹头高速列车,bullet | high-speed | nose | railway | shinkansen | speed | train | travel,动车 | 子弹列车 | 子弹头 | 子弹头高速列车 | 新干线 | 火车 | 高速 | 高铁,CLDR release-46 annotations
🚆,train,火车,arrived | choo | railway | train,到站 | 呜呜 | 火车 | 铁路,CLDR release-46 annotations
🚇,metro,地铁,metro | subway | travel,地铁 | 捷运,CLDR release-46 annotations
🚈,light rail,轻轨,arrived | light | monorail | rail | railway,到站 | 单轨电车 | 火车 | 轻轨,CLDR release-46 annotations
🚉,station,车站,railway | station | train,地铁 | 捷运 | 火车 | 车站 | 铁路,CLDR release-46 annotations
🚊,tram,路面电车,tram | trolleybus,捷运 | 电车 | 路面电车,CLDR release-46 annotations
🚋,tram car,有轨电车,bus | car | tram | trolley | trolleybus,有轨电车 | 轨道,CLDR release-46 annotations
🚌,bus,公交车,bus | school | vehicle,公交 | 公交车 | 公共汽车 | 大巴,CLDR release-46 annotations
🚍,oncoming bus,迎面驶来的公交车,bus | cars | oncoming,公交 | 公共汽车 | 大巴 | 迎面驶来 | 迎面驶来的公交车,CLDR release-46 annotations
🚎,trolleybus,无轨电车,bus | tram | trolley | trolleybus,公共汽车 | 无轨电车 | 电车,CLDR release-46 annotations
🚏,bus stop,公交车站,bus | busstop | stop,公交站 | 公交车站 | 公共汽车站,CLDR release-46 annotations
🚐,minibus,小巴,bus | drive | minibus | van | vehicle,公共汽车 | 小巴 | 开车 | 移动房车,CLDR release-46 annotations
🚑,ambulance,救护车,ambulance | emergency | vehicle,急救 | 救护车 | 车辆,CLDR release-46 annotations
🚒,fire engine,消防车,engine | fire | truck,救火车 | 消防车 | 火灾,CLDR release-46 annotations
🚓,police car,警车,5–0 | car | cops | patrol | police,檀岛警騎 | 汽车 | 警察 | 警车 | 巡逻,CLDR release-46 annotations
🚔,oncoming police car,迎面驶来的警车,car | oncoming | police,汽车 | 警察 | 警车 | 迎面驶来的警车,CLDR release-46 annotations
🚕,taxi,出租车,cab | cabbie | car | drive | taxi | vehicle | yellow,出租车 | 小黄 | 开车 | 汽车 | 的士 | 计程车,CLDR release-46 annotations
🚖,oncoming taxi,迎面驶来的出租车,cab | cabbie | cars | drove | hail | oncoming | taxi | yellow,优步 | 出租车 | 叫车 | 小黄 | 开车 | 的士 | 迎面驶来的出租车,CLDR release-46 annotations
🚗,automobile,汽车,automobile | car | driving | vehicle,开车 | 汽车 | 轿车,CLDR release-46 annotations
🚘,oncoming automobile,迎面驶来的汽车,automobile | car | cars | drove | oncoming | vehicle,开车 | 汽车 | 轿车 | 迎面而来 | 迎面驶来的汽车,CLDR release-46 annotations
🚙,sport utility vehicle,运动型多用途车,car | drive | recreational | sport | sportutility | utility | vehicle,SUV | 休旅车 | 休闲车 | 开车 | 房车 | 汽车 | 车辆 | 轿车 | 运动型多用途车 | 驾驶,CLDR release-46 annotations
🚚,delivery truck,货车,car | delivery | drive | truck | vehicle,卡车 | 开车 | 货车 | 送货,CLDR release-46 annotations
🚛,articulated lorry,铰接式货车,articulated | car | drive | lorry | move | semi | truck | vehicle,卡车 | 拖车 | 搬运 | 货车 | 铰接式卡车 | 铰接式货车,CLDR release-46 annotations
🚜,tractor,拖拉机,tractor | vehicle,拖拉机,CLDR release-46 annotations
🚝,monorail,单轨,monorail | vehicle,单轨 | 单轨电车 | 火车,CLDR release-46 annotations
🚞,mountain railway,山区铁路,car | mountain | railway | trip,山区 | 山区铁路 | 山地铁路 | 火车 | 铁路,CLDR release-46 annotations
🚟,suspension railway,空轨,railway | suspension,悬挂 | 悬挂式单轨 | 空中轨道列车 | 空轨,CLDR release-46 annotations
🚠,mountain cableway,缆车,cable | cableway | gondola | lift | mountain | ski,空中 | 索道 | 缆车,CLDR release-46 annotations
🚡,aerial tramway,索道,aerial | cable | car | gondola | ropeway | tramway,空中 | 索道 | 缆车,CLDR release-46 annotations
🚢,ship,船,boat | passenger | ship | travel,旅客 | 旅行 | 船,CLDR release-46 annotations
🚣,person rowing boat,划艇,boat | canoe | cruise | fishing | lake | oar | paddle | person | raft | river | row | rowboat | rowing,划桨 | 划船运动 | 划艇 | 木筏 | 河 | 泛舟湖上 | 湖 | 独木舟 | 船 | 钓鱼,CLDR release-46 annotations
🚤,speedboat,快艇,billionaire | boat | lake | luxury | millionaire | speedboat | summer | travel,亿万富翁 | 快艇 | 船 | 豪华游艇,CLDR release-46 annotations
🚥,horizontal traffic light,横向的红绿灯,horizontal | intersection | light | signal | stop | stoplight | traffic,交通灯 | 信号灯 | 横向的红绿灯 | 红绿灯,CLDR release-46 annotations
🚦,vertical traffic light,纵向的红绿灯,drove | intersection | light | signal | stop | stoplight | traffic | vertical,交叉口 | 交通灯 | 信号灯 | 直的红绿灯 | 红绿灯 | 纵向的红绿灯,CLDR release-46 annotations
🚧,construction,路障,barrier | construction,施工 | 路障,CLDR release-46 annotations
🚨,police car light,警车灯,alarm | alert | beacon | car | emergency | light | police | revolving | siren,灯 | 紧急 | 警报 | 警灯 | 警示 | 警车灯,CLDR release-46 annotations
🚩,triangular flag,三角旗,construction | flag | golf | post | triangular,三角旗 | 升旗 | 旗 | 旗杆上的三角旗 | 旗杆上的旗帜 | 红色旗帜 | 高尔夫,CLDR release-46 annotations
🚪,door,门,back | closet | door | front,出入口 | 前门 | 后门 | 大门 | 屋门 | 房门 | 房间 | 门,CLDR release-46 annotations
🚫,prohibited,禁止,entry | forbidden | no | not | prohibited | smoke,不准 | 不许 | 严禁 | 禁入 | 禁止 | 禁行 | 阻止,CLDR release-46 annotations
🚬,cigarette,香烟,cigarette | smoking,卷烟 | 吸烟 | 抽烟 | 烟 | 烟草 | 香烟,CLDR release-46 annotations
🚭,no smoking,禁止吸烟,forbidden | no | not | prohibited | smoke | smoking,严禁 | 吸烟 | 抽烟 | 禁止 | 禁止吸烟 | 禁烟,CLDR release-46 annotations
🚮,litter in bin sign,倒垃圾,bin | litter | litterbin | sign,倒垃圾 | 垃圾丢弃处 | 垃圾入篓 | 垃圾桶,CLDR release-46 annotations
🚯,no littering,禁止乱扔垃圾,forbidden | litter | littering | no | not | prohibited,严禁 | 垃圾 | 禁丢垃圾 | 禁止 | 禁止乱扔垃圾,CLDR release-46 annotations
🚰,potable water,饮用水,drinking | potable | water,可以喝的 | 喝水 | 接水 | 水 | 水龙头 | 饮用水,CLDR release-46 annotations
🚱,non-potable water,非饮用水,dry | non-drinking | non-potable | prohibited | water,水 | 禁止用水 | 节约用水 | 非直饮水 | 非饮用水,CLDR release-46 annotations
🚲,bicycle,自行车,bicycle | bike | class | cycle | cycling | cyclist | gang | ride | spin | spinning,单车 | 脚踏车 | 自行车 | 自行车骑士 | 飞驰 | 骑车 | 骑车疾驰,CLDR release-46 annotations
🚳,no bicycles,禁止自行车,bicycle | bicycles | bike | forbidden | no | not | prohibited,严禁 | 交通 | 禁止 | 禁止自行车 | 禁行自行车 | 自行车 | 非机动车,CLDR release-46 annotations
🚴,person biking,骑自行车,bicycle | bicyclist | bike | biking | cycle | cyclist | person | riding | sport,单车 | 脚踏车 | 自行车 | 自行车赛 | 自行车骑士 | 运动 | 骑单车 | 骑脚踏车者 | 骑自行车 | 骑自行车的人 | 骑自行车者,CLDR release-46 annotations
🚵,person mountain biking,骑山地车,bicycle | bicyclist | bike | biking | cycle | cyclist | mountain | person | riding | sport,体育竞技 | 单车 | 山 | 山地自行车 | 山地车 | 山地骑行的人 | 自行车 | 运动 | 骑山地车 | 骑山地车的人 | 骑自行车 | 骑自行车者,CLDR release-46 annotations
🚶,person walking,行人,amble | gait | hike | man | pace | pedestrian | person | stride | stroll | walk | walking,压马路 | 徒步 | 散步 | 昂首阔步 | 竞走 | 行人 | 行走的人 | 走路 | 远足 | 闲逛,CLDR release-46 annotations
🚷,no pedestrians,禁止行人通行,forbidden | no | not | pedestrian | pedestrians | prohibited,严禁 | 禁止行人通行 | 行人,CLDR release-46 annotations
🚸,children crossing,儿童过街,child | children | crossing | pedestrian | traffic,交通 | 儿童过街 | 安全 | 指示牌 | 行人,CLDR release-46 annotations
🚹,men’s room,男厕,bathroom | lavatory | man | men’s | restroom | room | toilet | WC,卫生间 | 厕所 | 洗手间 | 男厕 | 男士,CLDR release-46 annotations
🚺,women’s room,女厕,bathroom | lavatory | restroom | room | toilet | WC | woman | women’s,卫生间 | 厕所 | 女厕 | 女士 | 洗手间,CLDR release-46 annotations
